run_id,instance_id,arm,exit_status,turn_count,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,submitted,source,outcome,task_success
10,matplotlib__matplotlib-14623,control,Submitted,41,502954,23718,8779,2882,486016,12612,0,8,25,True,experiment/logs/control/matplotlib__matplotlib-14623/10.traj.json,resolved,1
2,matplotlib__matplotlib-14623,control,ValueError,45,476982,20649,9752,3294,463872,9050,0,8,29,False,experiment/logs/control/matplotlib__matplotlib-14623/2.traj.json,empty_patch,0
3,matplotlib__matplotlib-14623,control,ValueError,45,577849,22682,10084,3380,563072,10326,0,11,24,False,experiment/logs/control/matplotlib__matplotlib-14623/3.traj.json,empty_patch,0
4,matplotlib__matplotlib-14623,control,Submitted,38,418487,19452,7630,2794,404096,10442,0,9,28,True,experiment/logs/control/matplotlib__matplotlib-14623/4.traj.json,resolved,1
5,matplotlib__matplotlib-14623,control,ValueError,45,611307,27592,13485,3774,594816,11646,0,9,25,False,experiment/logs/control/matplotlib__matplotlib-14623/5.traj.json,empty_patch,0
6,matplotlib__matplotlib-14623,control,Submitted,43,481256,20163,7838,2420,466688,10396,0,7,26,True,experiment/logs/control/matplotlib__matplotlib-14623/6.traj.json,resolved,1
7,matplotlib__matplotlib-14623,control,LimitsExceeded,45,504339,21726,10552,2992,491136,9420,0,8,22,False,experiment/logs/control/matplotlib__matplotlib-14623/7.traj.json,empty_patch,0
8,matplotlib__matplotlib-14623,control,LimitsExceeded,45,505462,21912,9394,3586,491008,11174,0,9,28,False,experiment/logs/control/matplotlib__matplotlib-14623/8.traj.json,empty_patch,0
9,matplotlib__matplotlib-14623,control,LimitsExceeded,45,392746,17617,7455,3666,380416,8701,0,18,25,False,experiment/logs/control/matplotlib__matplotlib-14623/9.traj.json,empty_patch,0
1,matplotlib__matplotlib-25479,control,Submitted,74,1707072,45127,23076,14399,1681664,17476,0,25,44,True,experiment/logs/control/matplotlib__matplotlib-25479/1.traj.json,unresolved,0
10,matplotlib__matplotlib-25479,control,Submitted,69,1230985,32915,17344,10033,1213056,12444,0,17,45,True,experiment/logs/control/matplotlib__matplotlib-25479/10.traj.json,unresolved,0
2,matplotlib__matplotlib-25479,control,Submitted,56,829984,26516,14257,5943,816128,8369,0,12,29,True,experiment/logs/control/matplotlib__matplotlib-25479/2.traj.json,unresolved,0
3,matplotlib__matplotlib-25479,control,Submitted,65,1400484,38260,16831,10356,1377152,17297,0,10,47,True,experiment/logs/control/matplotlib__matplotlib-25479/3.traj.json,unresolved,0
4,matplotlib__matplotlib-25479,control,Submitted,41,530237,22774,8908,4270,515328,9877,0,6,27,True,experiment/logs/control/matplotlib__matplotlib-25479/4.traj.json,unresolved,0
5,matplotlib__matplotlib-25479,control,Submitted,65,1136528,34406,15578,7382,1114880,14257,0,9,40,True,experiment/logs/control/matplotlib__matplotlib-25479/5.traj.json,unresolved,0
6,matplotlib__matplotlib-25479,control,Submitted,61,1139503,34580,16167,6815,1119360,14110,0,7,39,True,experiment/logs/control/matplotlib__matplotlib-25479/6.traj.json,unresolved,0
7,matplotlib__matplotlib-25479,control,Submitted,45,862839,33335,16097,10260,845056,13277,0,13,43,True,experiment/logs/control/matplotlib__matplotlib-25479/7.traj.json,unresolved,0
8,matplotlib__matplotlib-25479,control,Submitted,44,682836,22877,9624,4081,668160,10604,0,5,23,True,experiment/logs/control/matplotlib__matplotlib-25479/8.traj.json,unresolved,0
9,matplotlib__matplotlib-25479,control,Submitted,46,710160,27997,13448,7128,694272,10430,0,4,31,True,experiment/logs/control/matplotlib__matplotlib-25479/9.traj.json,unresolved,0
1,django__django-13121,treatment,LimitsExceeded,100,2231523,54689,37548,20166,2208768,15665,2,34,48,False,experiment/logs/treatment/django__django-13121/1.traj.json,empty_patch,0
10,django__django-13121,treatment,LimitsExceeded,100,2630476,54272,31493,21934,2600960,21374,4,27,63,False,experiment/logs/treatment/django__django-13121/10.traj.json,empty_patch,0
2,django__django-13121,treatment,LimitsExceeded,100,3427670,68551,47380,28358,3401216,19673,19,14,42,False,experiment/logs/treatment/django__django-13121/2.traj.json,empty_patch,0
3,django__django-13121,treatment,LimitsExceeded,100,2962134,63972,39639,28206,2932352,22575,10,21,59,False,experiment/logs/treatment/django__django-13121/3.traj.json,empty_patch,0
4,django__django-13121,treatment,LimitsExceeded,100,3596163,73526,45470,24930,3562880,28226,15,12,42,False,experiment/logs/treatment/django__django-13121/4.traj.json,empty_patch,0
5,django__django-13121,treatment,Submitted,94,2634418,63346,35773,21224,2601984,24867,13,20,39,True,experiment/logs/treatment/django__django-13121/5.traj.json,resolved,1
6,django__django-13121,treatment,Submitted,90,2522805,58672,33339,23012,2491776,22899,10,22,54,True,experiment/logs/treatment/django__django-13121/6.traj.json,resolved,1
7,django__django-13121,treatment,LimitsExceeded,100,3335746,64467,40245,25394,3305344,21678,24,13,48,False,experiment/logs/treatment/django__django-13121/7.traj.json,empty_patch,0
8,django__django-13121,treatment,LimitsExceeded,100,3372850,62957,39156,27585,3342848,22606,10,22,65,False,experiment/logs/treatment/django__django-13121/8.traj.json,empty_patch,0
9,django__django-13121,treatment,LimitsExceeded,100,3709525,72027,48499,29124,3676928,22335,9,32,49,False,experiment/logs/treatment/django__django-13121/9.traj.json,empty_patch,0
1,matplotlib__matplotlib-14623,treatment,Submitted,45,846212,30656,11434,3212,824192,15194,8,8,18,True,experiment/logs/treatment/matplotlib__matplotlib-14623/1.traj.json,resolved,1
10,matplotlib__matplotlib-14623,treatment,Submitted,32,513857,24553,7785,3836,495360,14314,6,5,17,True,experiment/logs/treatment/matplotlib__matplotlib-14623/10.traj.json,resolved,1
2,matplotlib__matplotlib-14623,treatment,ValueError,45,631850,29310,13435,7318,613120,13715,3,12,29,False,experiment/logs/treatment/matplotlib__matplotlib-14623/2.traj.json,empty_patch,0
3,matplotlib__matplotlib-14623,treatment,ValueError,45,674231,26319,9130,4699,655104,14983,12,10,26,False,experiment/logs/treatment/matplotlib__matplotlib-14623/3.traj.json,empty_patch,0
4,matplotlib__matplotlib-14623,treatment,Submitted,28,435821,24315,10177,5592,419968,11460,11,3,13,True,experiment/logs/treatment/matplotlib__matplotlib-14623/4.traj.json,resolved,1
5,matplotlib__matplotlib-14623,treatment,Submitted,34,654929,30536,11985,6232,634624,14872,6,2,18,True,experiment/logs/treatment/matplotlib__matplotlib-14623/5.traj.json,resolved,1
6,matplotlib__matplotlib-14623,treatment,Submitted,32,389801,19919,8430,2681,376832,9024,4,5,16,True,experiment/logs/treatment/matplotlib__matplotlib-14623/6.traj.json,resolved,1
7,matplotlib__matplotlib-14623,treatment,LimitsExceeded,45,808558,30717,12847,5537,788480,14154,13,1,14,False,experiment/logs/treatment/matplotlib__matplotlib-14623/7.traj.json,empty_patch,0
8,matplotlib__matplotlib-14623,treatment,LimitsExceeded,45,569254,22004,9225,2864,554752,10122,7,10,20,False,experiment/logs/treatment/matplotlib__matplotlib-14623/8.traj.json,empty_patch,0
9,matplotlib__matplotlib-14623,treatment,Submitted,26,464000,28742,10662,5967,445184,14612,9,0,9,True,experiment/logs/treatment/matplotlib__matplotlib-14623/9.traj.json,resolved,1
1,matplotlib__matplotlib-25479,treatment,Submitted,54,947174,30519,13371,7774,928000,12853,17,8,25,True,experiment/logs/treatment/matplotlib__matplotlib-25479/1.traj.json,unresolved,0
10,matplotlib__matplotlib-25479,treatment,Submitted,51,1120489,36447,15179,8620,1098112,17261,12,12,22,True,experiment/logs/treatment/matplotlib__matplotlib-25479/10.traj.json,unresolved,0
2,matplotlib__matplotlib-25479,treatment,Submitted,58,1261978,33382,14979,8386,1242112,14192,9,1,34,True,experiment/logs/treatment/matplotlib__matplotlib-25479/2.traj.json,unresolved,0
3,matplotlib__matplotlib-25479,treatment,Submitted,57,1483651,41290,17961,10305,1458432,18150,14,8,30,True,experiment/logs/treatment/matplotlib__matplotlib-25479/3.traj.json,unresolved,0
4,matplotlib__matplotlib-25479,treatment,Submitted,92,2812115,54075,28378,13591,2783360,19599,17,15,40,True,experiment/logs/treatment/matplotlib__matplotlib-25479/4.traj.json,unresolved,0
5,matplotlib__matplotlib-25479,treatment,Submitted,56,1078502,32540,12736,6592,1056256,15258,14,8,19,True,experiment/logs/treatment/matplotlib__matplotlib-25479/5.traj.json,unresolved,0
6,matplotlib__matplotlib-25479,treatment,Submitted,57,1227790,36643,14453,8091,1203200,17408,11,9,26,True,experiment/logs/treatment/matplotlib__matplotlib-25479/6.traj.json,unresolved,0
7,matplotlib__matplotlib-25479,treatment,Submitted,31,341127,18576,6829,3029,329088,8666,17,2,8,True,experiment/logs/treatment/matplotlib__matplotlib-25479/7.traj.json,unresolved,0
8,matplotlib__matplotlib-25479,treatment,Submitted,64,1357722,35473,15028,7703,1335040,15634,18,3,31,True,experiment/logs/treatment/matplotlib__matplotlib-25479/8.traj.json,unresolved,0
9,matplotlib__matplotlib-25479,treatment,Submitted,51,942241,30822,12433,6813,922624,13727,12,3,28,True,experiment/logs/treatment/matplotlib__matplotlib-25479/9.traj.json,unresolved,0
