# SourceMinder experiment sampling pool -- the fixed universe a run draws from.
# dataset: princeton-nlp/SWE-bench_Verified @ c104f840cc67f8b6eec6f759ebc8b2693d585d4a
# image_registry: docker.io/swebench (digests pin identity; images stay on Docker Hub)
# generated: 20260617_151917 by scripts/build_pool.py
# extended: 20260620_120252 +30 rows (1 nf=21 outlier, 29 nf=1) for N=25 draw
# count: 100
instance_id,repo,n_files,image,digest
django__django-12155,django,2,swebench/sweb.eval.x86_64.django_1776_django-12155:latest,sha256:42767ad601ce1c15ddbdc5fb6376feec01cb992c34ede75f6f328a733066f41f
django__django-12325,django,2,swebench/sweb.eval.x86_64.django_1776_django-12325:latest,sha256:6a363710f96e60e6aac349041d8462bc3817cc6dacdf8c4221f084bc5a2236ba
django__django-12406,django,2,swebench/sweb.eval.x86_64.django_1776_django-12406:latest,sha256:74a58dbb5362594e482eeeb3c76e3a8aeba2285c67506bf1847001078822d6d0
django__django-12741,django,2,swebench/sweb.eval.x86_64.django_1776_django-12741:latest,sha256:4a5b2a8509849f2046fe578542cf7355000ee8d9e141d5bf85763422e2da49c2
django__django-13121,django,4,swebench/sweb.eval.x86_64.django_1776_django-13121:latest,sha256:d67435f9668076341acd3f35a446940477a4e2b27b864380cd865423bc055386
django__django-13195,django,3,swebench/sweb.eval.x86_64.django_1776_django-13195:latest,sha256:be6cf2f5c89f41ea4dfa659766c6921dded5f1df424b4608bb8e56e2782dce18
django__django-13212,django,2,swebench/sweb.eval.x86_64.django_1776_django-13212:latest,sha256:a0ad873326ee690f074c573ba28914b0e1ab53a425ae9fc131f0bcb711ab2f25
django__django-13344,django,3,swebench/sweb.eval.x86_64.django_1776_django-13344:latest,sha256:664d9630cff993a6eef75d113940909946f1fb3b8ed4c200ee7a8184de9fb3c1
django__django-13512,django,2,swebench/sweb.eval.x86_64.django_1776_django-13512:latest,sha256:c6f108f5cfadaab377989776c47b51548c5d408b907ed49a1aeb2b84945923fc
django__django-14011,django,2,swebench/sweb.eval.x86_64.django_1776_django-14011:latest,sha256:a5f4da06c192edf837a384e84b92eb7c9e770b7a943d7275a53ff057dc15168a
django__django-14170,django,2,swebench/sweb.eval.x86_64.django_1776_django-14170:latest,sha256:f37acd654c791f976c9c01da92f7074344f50519f85b94585c9521e55c7abdb7
django__django-14315,django,2,swebench/sweb.eval.x86_64.django_1776_django-14315:latest,sha256:ff72be500f1739fe631294f1c0b927333c29d79476647305801c606af70c3131
django__django-14376,django,2,swebench/sweb.eval.x86_64.django_1776_django-14376:latest,sha256:18c9d032bc9ec1675d375b06cbdc94ebc00647614219eaeee88d8bb6fa1934c5
django__django-14631,django,2,swebench/sweb.eval.x86_64.django_1776_django-14631:latest,sha256:d94b6b8f16628752c95ddbbd97a303a905c3b6b695f49e83efdbb5e50979e2d3
django__django-15103,django,2,swebench/sweb.eval.x86_64.django_1776_django-15103:latest,sha256:3a17ac2d5ea0f9aa6b9d0380ae818e82019e05e285bf5d91ea682e5ab1ba8ce2
django__django-15561,django,2,swebench/sweb.eval.x86_64.django_1776_django-15561:latest,sha256:8391de1d8bd5b5aa991e505bfc6055b0b1040aedf8869f579bff16f715a2dd44
django__django-15563,django,2,swebench/sweb.eval.x86_64.django_1776_django-15563:latest,sha256:cfdb1bd02be1de69cbc47ab8f56ca17be627085a4f67cf261d4ecd581a2e084f
django__django-15629,django,4,swebench/sweb.eval.x86_64.django_1776_django-15629:latest,sha256:1d299a89da4936857ab056b9558447b3800b6d7764985c2683bad456d8a385e2
django__django-16032,django,2,swebench/sweb.eval.x86_64.django_1776_django-16032:latest,sha256:ac580cd77e1b8cd98e3bf4ac9821cb9500fc78024162057fee6132df30da5cc2
django__django-16256,django,2,swebench/sweb.eval.x86_64.django_1776_django-16256:latest,sha256:78d1673b513d31b7566716b29566e0c6a5a20946df80b1388c13acf85abdcbce
django__django-16263,django,4,swebench/sweb.eval.x86_64.django_1776_django-16263:latest,sha256:f6cf7b579f59272dae11c702fe9a7c9af8410668fdd853ef04d8e91fcc6a3687
django__django-16315,django,2,swebench/sweb.eval.x86_64.django_1776_django-16315:latest,sha256:0d4a7d5a03d8fc21845e81a8cae591451979d8fb9dd8ab3725d830dd004d9d8d
django__django-16560,django,2,swebench/sweb.eval.x86_64.django_1776_django-16560:latest,sha256:25e61661c5ebbb73de73300b82fad3c1f285da9dbab5dccd940dcc4eab3d31ad
django__django-16631,django,2,swebench/sweb.eval.x86_64.django_1776_django-16631:latest,sha256:5e8908f0da66997852541183a80a4a7408c47a8958c083b4a9c453835cbd4712
django__django-16938,django,2,swebench/sweb.eval.x86_64.django_1776_django-16938:latest,sha256:82386fb686d8ee5f56219ed6e8b8b222837803dbe8236510cca48cf2443ef4da
matplotlib__matplotlib-14623,matplotlib,3,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-14623:latest,sha256:f003a90c75c476d032019d669cc4dc0a5719a85d194f9d0417ec3be7f6e4fc79
matplotlib__matplotlib-24870,matplotlib,2,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-24870:latest,sha256:ca4c0288e429026f903dcc61a04c150bd5b5018bea24fc487026aa8af39fe013
matplotlib__matplotlib-25479,matplotlib,2,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-25479:latest,sha256:4cc8724f90087daec09e19a57855da5cd045e7cdb4155b7a0ec36e932c478b49
matplotlib__matplotlib-25775,matplotlib,3,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-25775:latest,sha256:99cfdd23b0ca615107700d9fb6d185291737a17877e490814a8b608e21d5666e
mwaskom__seaborn-3187,mwaskom,2,swebench/sweb.eval.x86_64.mwaskom_1776_seaborn-3187:latest,sha256:f4347b49f914c4033bd3d6ba438f38ded209e56146291a7736dcd263f38fd950
pydata__xarray-3095,pydata,2,swebench/sweb.eval.x86_64.pydata_1776_xarray-3095:latest,sha256:d3100dabb116ed3ccce9f80b89197221f0d8b781f23da0a7685eb8a029cc3f9e
pydata__xarray-3305,pydata,2,swebench/sweb.eval.x86_64.pydata_1776_xarray-3305:latest,sha256:9b73fb7020ad0612489f960fde717f94869c288afc3a8237cebc824925717665
pydata__xarray-3993,pydata,2,swebench/sweb.eval.x86_64.pydata_1776_xarray-3993:latest,sha256:458f613aa80bea29430b780dce74bf142551db01650d46a0fa49f72a54cbf735
pydata__xarray-6938,pydata,2,swebench/sweb.eval.x86_64.pydata_1776_xarray-6938:latest,sha256:84869986b46974382c5aaebd909f84068cad2605736db21b6f5f557c28d0e331
pydata__xarray-6992,pydata,2,swebench/sweb.eval.x86_64.pydata_1776_xarray-6992:latest,sha256:ab8e4c77f4f3c183a9894269fe9a3c9ded0b62b52c10f5259ac19eaafd67bda3
pylint-dev__pylint-4551,pylint-dev,4,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-4551:latest,sha256:70e1fceb2743ca68df6703f4d79b77e2d23db2b00b7a64ce4c6347bfe8ceefbb
pylint-dev__pylint-4604,pylint-dev,2,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-4604:latest,sha256:ba19da0f98e0dc7d259bafe71f3638b69fcd8a89c66a3f7a5039f5a40c8a4765
pylint-dev__pylint-4661,pylint-dev,2,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-4661:latest,sha256:d75c28c821cdb42ea1b9f96b57ce2de833b639c28d36c65a9cd9de6758d063df
pylint-dev__pylint-6386,pylint-dev,4,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-6386:latest,sha256:30eb26bb7e907efb8dcf8a6d4ea08c184b27b779ef517e659874aec612280d62
pylint-dev__pylint-6528,pylint-dev,2,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-6528:latest,sha256:5c06fb2da69edf15900ebda1217c485fcddf38a4e6744e1d848f0e311aa5971d
pylint-dev__pylint-8898,pylint-dev,3,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-8898:latest,sha256:4b8b097129a8100a92099844231b9df25fa79c77dcba22a4923afe70d978d885
pytest-dev__pytest-5840,pytest-dev,2,swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-5840:latest,sha256:3c9e0ec6b046fbd56428dee85ad9575908828d35c1da4bc06f675d7e8cfde418
pytest-dev__pytest-8399,pytest-dev,2,swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-8399:latest,sha256:3aab9323e15fa084e404f097ed2867ef9d8dfb0b997a843db3f0b17f4c0d4d6f
scikit-learn__scikit-learn-12682,scikit-learn,2,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-12682:latest,sha256:0525414152013d1c784f332eac2d6a07bd90bdc57edb9a4582c06393b137f6f6
scikit-learn__scikit-learn-25102,scikit-learn,2,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-25102:latest,sha256:f08751d50a75b6546bd52779d700a5c5668eba96dcc888bb5931e7c945c19f8c
sphinx-doc__sphinx-10673,sphinx-doc,3,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10673:latest,sha256:750293c6005f92a9e7559c00699f89cbcf1ec3e3d53f8d6df2cca77d849d40b3
sphinx-doc__sphinx-7462,sphinx-doc,2,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7462:latest,sha256:e24b5788a09c7aea754561c38b4d59225b55c93b2bec2141954018305c2e04b3
sphinx-doc__sphinx-7590,sphinx-doc,3,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7590:latest,sha256:263c6b5a2e691d27ff928b1dcdd8247df81b12e764517a9cac6347f780d553d9
sphinx-doc__sphinx-8120,sphinx-doc,2,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8120:latest,sha256:816a25e24b05e4f034603b500803cbe88d8f6fc1f3ccb6d83f48f7056d48177e
sphinx-doc__sphinx-8548,sphinx-doc,2,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8548:latest,sha256:45821c18ffb029584479c8ce13b8e502f764b45da1711e5238a68da533dfad9b
sphinx-doc__sphinx-8551,sphinx-doc,2,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8551:latest,sha256:77f476927410992943a8d2744aea86b3e0c50d8773b61e56ebba9dd0fd4b9db1
sphinx-doc__sphinx-8593,sphinx-doc,2,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8593:latest,sha256:ef4de1c7f97b55b29813eb1e3070f5767114f2db15a5ccfe193d4e1cb1a803e7
sphinx-doc__sphinx-9461,sphinx-doc,3,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-9461:latest,sha256:c885e1c2d14eb00bd7c00b792708d1f8dd73fef820e2f446038e8fd75eab35cc
sympy__sympy-13877,sympy,2,swebench/sweb.eval.x86_64.sympy_1776_sympy-13877:latest,sha256:24cf2c1163b2dd86f6fa6249d77e94d31a4482036a09c743eb0f9e1ab6a928ab
sympy__sympy-14248,sympy,3,swebench/sweb.eval.x86_64.sympy_1776_sympy-14248:latest,sha256:514cf30115cacb763755442ee4925b0e2149aa8ea54e5ecaa1d982df40c1a10a
sympy__sympy-16597,sympy,6,swebench/sweb.eval.x86_64.sympy_1776_sympy-16597:latest,sha256:122f020e5faaa1b4384b2a0c6ef167736826f157e1fa5f4a8a7a3496fbd354cc
sympy__sympy-17318,sympy,2,swebench/sweb.eval.x86_64.sympy_1776_sympy-17318:latest,sha256:687212f097d8c91f58e955a6505f504be41c0b2d443e01971748b723d5585da4
sympy__sympy-19783,sympy,2,swebench/sweb.eval.x86_64.sympy_1776_sympy-19783:latest,sha256:edc853069fcccb888e6ba5d00a13fc75115be5b1539c37d8f04aa3011ca509a1
sympy__sympy-20438,sympy,3,swebench/sweb.eval.x86_64.sympy_1776_sympy-20438:latest,sha256:c6cfc447fb836a3a0ff2c5d16b6776255bab4e94504580bac06597921c9d1ace
sympy__sympy-22080,sympy,2,swebench/sweb.eval.x86_64.sympy_1776_sympy-22080:latest,sha256:c1fb39b01f70ecff122c24842c2c01060de756f28e71697989f505e6cd0ae503
astropy__astropy-13977,astropy,1,swebench/sweb.eval.x86_64.astropy_1776_astropy-13977:latest,sha256:bcc442a117def63c8011091500b4e2dd49980a08b74e3c2fbdad4e42745278bb
astropy__astropy-14539,astropy,1,swebench/sweb.eval.x86_64.astropy_1776_astropy-14539:latest,sha256:a8d0f9829ec24dfb23a2f0097a245ee60faf1b396b33b3af5c22d7ac5f3c00ab
astropy__astropy-14995,astropy,1,swebench/sweb.eval.x86_64.astropy_1776_astropy-14995:latest,sha256:b29a3bf3daebe6055a2bba46bc98db070043acd53801bd783c2f620813a87eae
django__django-11740,django,1,swebench/sweb.eval.x86_64.django_1776_django-11740:latest,sha256:70df1c2492fd12dc3012591ad6b51aa0559647e88ddd27139ceea4283fc3b063
django__django-11848,django,1,swebench/sweb.eval.x86_64.django_1776_django-11848:latest,sha256:b2c8495fe0364c922c22dce783c6aeee863c4cbee720a2d8cea60f453d16df68
django__django-14311,django,1,swebench/sweb.eval.x86_64.django_1776_django-14311:latest,sha256:64bb4ab24c3bedf4317c7b9f108633033c740eba55ac66e8f02639c9dbab6866
matplotlib__matplotlib-20676,matplotlib,1,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-20676:latest,sha256:e49c892dea5b9a208f93d822f40985f837eb3bc912116044c5418e740b3a56c9
matplotlib__matplotlib-24970,matplotlib,1,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-24970:latest,sha256:ddebd63fbd14fdc4426e1f118294dd182479f42300f5d3f6f59be97becdc3d51
matplotlib__matplotlib-26342,matplotlib,1,swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-26342:latest,sha256:60f2b266b842a8d7e592d599017f80d80cc3e4cce0ad5897ded316237e79849c
mwaskom__seaborn-3069,mwaskom,1,swebench/sweb.eval.x86_64.mwaskom_1776_seaborn-3069:latest,sha256:3feccf3ece6ca73c10ee665b62679937b7dbc2db28c35c9b4a1f192ed540e2dd
pallets__flask-5014,pallets,1,swebench/sweb.eval.x86_64.pallets_1776_flask-5014:latest,sha256:ffa7af7191f8aca58cc00db4582c7b0cb1aab91d395dc470baeac8cd7a5758ee
psf__requests-1921,psf,1,swebench/sweb.eval.x86_64.psf_1776_requests-1921:latest,sha256:394cd3621cbf2aa70794d91f5eb9009c169da649d9b9ee9e3944b661dfb72088
psf__requests-5414,psf,1,swebench/sweb.eval.x86_64.psf_1776_requests-5414:latest,sha256:168ae94842a3fb649583fe31fddea447fe17504fef03a858750dc8d8f21a8326
psf__requests-6028,psf,1,swebench/sweb.eval.x86_64.psf_1776_requests-6028:latest,sha256:e7bb372d262c4888eedb833e3c0685f9c3e6d6b1b1b1c2fe638fe5170160dafe
pydata__xarray-2905,pydata,1,swebench/sweb.eval.x86_64.pydata_1776_xarray-2905:latest,sha256:641f8c9abffbac1bde7a81dcb5c98d48dbbbf7deef0d9244252b0542b1f5e67b
pydata__xarray-4695,pydata,1,swebench/sweb.eval.x86_64.pydata_1776_xarray-4695:latest,sha256:7ef6875f4261882984f8bf90705f5acbd99151ab45bfabdf97885bf440aaee6f
pydata__xarray-6744,pydata,1,swebench/sweb.eval.x86_64.pydata_1776_xarray-6744:latest,sha256:bab4ae59e807fe43016929f298de12ceda67353330d80b9be0b2ab3920115163
pylint-dev__pylint-4970,pylint-dev,1,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-4970:latest,sha256:d5b68120595f1541cadc12b08a01b7db2d4b0eddedf67e92f7ef065c1e46b82b
pylint-dev__pylint-7080,pylint-dev,1,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-7080:latest,sha256:7fce42c811782808fe6d87edc55d39423742727b35128e82ae28a3c209b95fd5
pylint-dev__pylint-7277,pylint-dev,1,swebench/sweb.eval.x86_64.pylint-dev_1776_pylint-7277:latest,sha256:c7121ec1ea545d8116c960b75dcfc80ed4911539964bfbb446121ce0a2c8b4e7
pytest-dev__pytest-10081,pytest-dev,1,swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-10081:latest,sha256:cb98e7a43ca4a8499a80ae446d100c6afb9ecac747dfafe1f4eca287a8321ecb
pytest-dev__pytest-7205,pytest-dev,1,swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-7205:latest,sha256:796f4016fa7dd0f3c663c518ad3282ba6aa4c1dbbc741d803e47f0fd51bcc740
pytest-dev__pytest-7236,pytest-dev,1,swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-7236:latest,sha256:894656eb23fe14441e3ff684bafeac20b9f2ec33afb99323a07277152ac8d5f5
scikit-learn__scikit-learn-10297,scikit-learn,1,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-10297:latest,sha256:3fff87093463f36cf764abeeda281d89458c7f085b0b066b417c877c090ca960
scikit-learn__scikit-learn-14496,scikit-learn,1,swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-14496:latest,sha256:a02ba389e1470bf255f3ec525ac6298887313285f8e58487797f2fa27fb0023e
sphinx-doc__sphinx-7889,sphinx-doc,1,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7889:latest,sha256:13d7a56d7753561f736ab443e9a7142a24af0e8781ba1e8f0e884a084027311d
sphinx-doc__sphinx-8459,sphinx-doc,1,swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8459:latest,sha256:8beb4abcd3b9167c9607599ccf82538c15954f33848b476bbf33d63f8f4ceef3
sympy__sympy-13091,sympy,21,swebench/sweb.eval.x86_64.sympy_1776_sympy-13091:latest,sha256:fe5da0076aaebc81d9a54e2b3a20bfab88fea021a51f14391dc7928386137f1e
sympy__sympy-21930,sympy,1,swebench/sweb.eval.x86_64.sympy_1776_sympy-21930:latest,sha256:617d5e00096adee582b3a0f520e802924be656374f315ce08f9e7abfafa66e5e
sympy__sympy-24443,sympy,1,swebench/sweb.eval.x86_64.sympy_1776_sympy-24443:latest,sha256:2deb0bddd871f03cbc4b9df798ff41ed97f250bcd28305103923f214f6fd7380
