run_id,instance_id,arm,exit_status,turn_count,total_input_tokens,peak_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_cached_tokens,tool_output_tokens_approx,qi_invocations,grep_invocations,file_read_invocations,submitted,source
7,django__django-13121,control,,16,61026,6679,2587,1052,56448,3262,0,13,13,False,experiment/logs/deepseek--deepseek-v4-flash/control/django__django-13121/7.traj.json
1,sympy__sympy-22080,control,Submitted,56,1202306,37983,23935,16795,1185152,11072,0,18,28,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/1.traj.json
10,sympy__sympy-22080,control,Submitted,107,4963927,78867,46229,31386,4924928,22393,0,25,34,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/10.traj.json
2,sympy__sympy-22080,control,Submitted,100,4281026,71112,46012,34526,4249856,19573,0,26,54,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/2.traj.json
3,sympy__sympy-22080,control,Submitted,105,4900309,85231,47661,32720,4856576,30662,0,23,49,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/3.traj.json
4,sympy__sympy-22080,control,Submitted,122,4611931,68336,42195,24068,4577792,20203,0,31,45,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/4.traj.json
5,sympy__sympy-22080,control,Submitted,102,4911168,84762,53458,37650,4874240,25884,0,20,36,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/5.traj.json
6,sympy__sympy-22080,control,Submitted,81,2951167,63968,36904,26126,2919808,21534,0,21,30,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/6.traj.json
7,sympy__sympy-22080,control,Submitted,67,1527026,43533,21703,13552,1500544,17788,0,15,31,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/7.traj.json
8,sympy__sympy-22080,control,LimitsExceeded,125,5190598,80026,55102,39228,5158784,19442,0,33,54,False,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/8.traj.json
9,sympy__sympy-22080,control,Submitted,111,5835909,96573,61369,41980,5794176,28404,0,27,44,True,experiment/logs/deepseek--deepseek-v4-flash/control/sympy__sympy-22080/9.traj.json
1,astropy__astropy-14369,treatment,Submitted,50,1802812,72547,43287,37812,1771392,18866,10,8,21,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/1.traj.json
10,astropy__astropy-14369,treatment,Submitted,81,2604187,64595,30167,20727,2564480,27410,6,14,41,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/10.traj.json
2,astropy__astropy-14369,treatment,Submitted,50,1161145,40303,13805,9185,1132288,18138,4,6,29,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/2.traj.json
3,astropy__astropy-14369,treatment,Submitted,34,666680,35718,14006,8793,644224,15694,5,0,20,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/3.traj.json
4,astropy__astropy-14369,treatment,Submitted,63,2288532,66872,25921,18296,2243968,30112,2,7,29,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/4.traj.json
5,astropy__astropy-14369,treatment,Submitted,41,1152105,44189,20247,16037,1126016,17308,8,1,22,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/5.traj.json
6,astropy__astropy-14369,treatment,Submitted,39,1023105,44613,20014,14743,996864,18787,4,2,21,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/6.traj.json
7,astropy__astropy-14369,treatment,Submitted,73,2626127,77140,45770,35065,2591104,23302,9,6,34,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/7.traj.json
8,astropy__astropy-14369,treatment,Submitted,65,2423797,76399,48836,40083,2392704,20246,8,7,30,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/8.traj.json
9,astropy__astropy-14369,treatment,Submitted,36,997865,46921,17736,14214,967040,22688,3,2,22,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/astropy__astropy-14369/9.traj.json
10,django__django-13121,treatment,,14,60998,7869,1483,444,54400,6153,4,3,7,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/django__django-13121/10.traj.json
3,django__django-13121,treatment,,17,72375,7809,2490,1394,66688,4644,2,6,11,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/django__django-13121/3.traj.json
4,django__django-13121,treatment,,14,50293,6515,2046,1140,45824,3769,7,3,6,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/django__django-13121/4.traj.json
5,django__django-13121,treatment,,20,117817,9701,2368,993,110080,6354,4,8,8,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/django__django-13121/5.traj.json
6,django__django-13121,treatment,,16,76290,8179,2243,1096,70016,5367,5,4,11,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/django__django-13121/6.traj.json
9,django__django-13121,treatment,,18,96313,8902,2395,1186,89600,5705,3,6,9,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/django__django-13121/9.traj.json
1,sympy__sympy-22080,treatment,LimitsExceeded,125,6020869,88773,58554,40825,5982976,23693,13,20,37,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/1.traj.json
10,sympy__sympy-22080,treatment,LimitsExceeded,125,5923740,93658,62292,48292,5884416,24990,13,40,40,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/10.traj.json
2,sympy__sympy-22080,treatment,Submitted,98,3818422,66969,36142,23224,3781888,24554,5,22,43,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/2.traj.json
3,sympy__sympy-22080,treatment,Submitted,103,4044700,67998,40465,29061,4010752,22106,14,20,30,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/3.traj.json
4,sympy__sympy-22080,treatment,LimitsExceeded,125,6330487,95013,63203,47023,6290432,26633,11,22,42,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/4.traj.json
5,sympy__sympy-22080,treatment,LimitsExceeded,125,7247813,103622,60321,43708,7197696,36267,3,30,47,False,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/5.traj.json
6,sympy__sympy-22080,treatment,Submitted,81,3506194,70805,43380,34157,3474688,22414,11,5,48,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/6.traj.json
7,sympy__sympy-22080,treatment,Submitted,118,4706451,77132,48776,33707,4670464,23092,2,47,48,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/7.traj.json
8,sympy__sympy-22080,treatment,Submitted,113,4719693,68849,42736,30056,4686336,20520,8,12,38,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/8.traj.json
9,sympy__sympy-22080,treatment,Submitted,83,3548151,71528,44563,30244,3516288,21290,2,14,27,True,experiment/logs/deepseek--deepseek-v4-flash/treatment/sympy__sympy-22080/9.traj.json
